image,fpem_score
00002.png,2.549966812133789
00006.png,3.594592571258545
00008.png,2.6656205654144287
00009.png,2.666213035583496
00027.png,1.7324721813201904
00040.png,2.836561679840088
00081.png,3.0170271396636963
00121.png,2.0312061309814453
00124.png,1.7575660943984985
00145.png,1.7565577030181885
00199.png,1.6878620386123657
00228.png,1.7151645421981812
00259.png,1.7010841369628906
00322.png,1.7214566469192505
00341.png,1.935410976409912
00387.png,1.7388132810592651
00400.png,3.3711769580841064
00413.png,1.9268343448638916
00540.png,1.7533690929412842
00606.png,1.8862231969833374
00680.png,1.869279146194458
00696.png,1.8834762573242188
00768.png,2.5038743019104004
00800.png,2.8029003143310547
00938.png,1.6364191770553589
00953.png,1.7988783121109009
00970.png,2.802067995071411
01021.png,1.7573297023773193
01084.png,2.2774081230163574
01117.png,1.831291675567627
01171.png,1.7052611112594604
01174.png,1.8410979509353638
01186.png,2.1275007724761963
01263.png,1.8466969728469849
01293.png,2.484440803527832
01304.png,1.6604031324386597
01321.png,1.8067166805267334
01360.png,1.7462732791900635
01388.png,1.724380612373352
01401.png,1.9173541069030762
01408.png,1.6972239017486572
01409.png,1.9114913940429688
01410.png,1.6384341716766357
01426.png,1.740240216255188
01470.png,1.7868247032165527
01474.png,2.279761791229248
01495.png,3.1021203994750977
01519.png,2.2799177169799805
01524.png,1.8039470911026
01539.png,1.7587451934814453
01565.png,2.027555465698242
01576.png,3.196507692337036
01602.png,1.7847460508346558
01669.png,2.016855478286743
01731.png,1.7753907442092896
01758.png,1.8116708993911743
01815.png,1.8061561584472656
01926.png,1.8056784868240356
01946.png,1.8543000221252441
01994.png,1.6794452667236328
02000.png,2.6392102241516113
02016.png,1.838875412940979
02042.png,1.8193061351776123
02045.png,2.228383779525757
02101.png,1.827209234237671
02103.png,1.691107153892517
02121.png,2.2521450519561768
02131.png,2.0460851192474365
02154.png,2.054067850112915
02169.png,2.0409774780273438
02231.png,1.7300153970718384
02273.png,1.7256755828857422
02295.png,1.771713137626648
02312.png,1.7192070484161377
02400.png,2.949909210205078
02526.png,1.619634747505188
02541.png,1.6903529167175293
02542.png,1.9868608713150024
02553.png,2.092466115951538
02586.png,2.854138135910034
02676.png,1.8490387201309204
02728.png,1.738844394683838
02801.png,1.773433804512024
02805.png,1.7680234909057617
02825.png,1.8372886180877686
02855.png,1.6680543422698975
02936.png,1.8721246719360352
02946.png,1.7945743799209595
03096.png,1.8753409385681152
03152.png,2.68472957611084
03264.png,2.0085184574127197
03265.png,1.6965479850769043
03394.png,1.9195551872253418
03449.png,1.9144119024276733
03475.png,2.777855634689331
03492.png,2.009535551071167
03628.png,1.8239071369171143
03914.png,1.8024946451187134
03934.png,1.6223833560943604
04000.png,2.9619951248168945
